Eigenvalue	Total Elapsed Time(s)	#Iterations
1	106.9554693698883	5
2	269.117458820343	8
3	434.2299213409424	8
4	821.2936103343964	20
5	1080.264844417572	13
6	1433.5821828842163	18
7	2064.9866292476654	33
8	2494.890917301178	22
9	2703.9380877017975	10
10	2910.4363012313843	10
11	3153.7211034297943	12
12	3732.2297656536102	30
13	4125.995313644409	20
14	4463.024838209152	17
15	4761.56679224968	15
16	5171.8091859817505	21
17	5637.860923051834	24
18	6013.016624927521	19
19	6482.693794965744	24
20	6875.37795996666	20
