Iteration	Total Elapsed Time(s)	Trace Estimate
1	17.839516401290894	1011.5899658203125
2	35.66344237327576	888.9066467285156
3	53.51860976219177	822.3132527669271
4	71.45188474655151	831.9054412841797
5	89.46326446533203	883.6137084960938
6	107.47464370727539	875.8060506184896
7	125.51726841926575	828.286865234375
8	143.54426836967468	907.8730163574219
9	161.58692741394043	870.5045979817709
10	179.67638111114502	827.3065856933594
11	197.7502465248108	809.7751686789773
12	215.82411241531372	817.702402750651
13	233.89797687530518	832.1579871544471
14	252.09681177139282	840.3155822753906
15	270.2956829071045	819.8141886393229
16	288.5101065635681	826.35400390625
17	306.7714283466339	853.2183981502758
18	325.048371553421	882.851806640625
19	343.3253140449524	910.009611430921
20	361.63349986076355	914.5385772705079
21	379.9729299545288	910.1530383882068
22	398.4060835838318	899.2284629128196
23	416.82371497154236	877.1847003439199
24	435.24446058273315	873.9320958455404
25	453.6620328426361	876.4276293945312
26	472.0954008102417	888.48533982497
27	490.51293420791626	885.7756528501158
28	508.9460594654083	879.8191201346261
29	527.3635976314545	871.9568902377424
30	545.7656826972961	875.4330810546875
31	564.2146558761597	880.1576104933216
32	582.6165692806244	884.0983085632324
33	601.0689570903778	881.0562392726089
34	619.4911286830902	893.11498484892
35	638.3150253295898	887.4378819056919
36	657.1230938434601	890.6638437906901
37	675.9313294887543	884.1298597181166
38	694.7551674842834	890.4012097810444
39	713.5788571834564	897.505136343149
40	732.4027247428894	904.2385955810547
41	751.210969209671	900.3583775962271
42	770.034836769104	905.0296078636533
43	788.8585255146027	896.4586635855741
44	807.7134578227997	893.3075381192294
45	826.5217306613922	893.1255411783854
